Hydrolab DS5X 60804
"Log File Name : Myvstn_33_September_2017"
"Setup Date (M/D/YYYY) : 9/3/2017"
"Setup Time (HH:MM:SS) : 12:13:01"
"Starting Date (M/D/YYYY) : 9/3/2017"
"Starting Time (HH:MM:SS) : 12:13:01"
"Stopping Date (M/D/YYYY) : 11/25/1933"
"Stopping Time (HH:MM:SS) : 17:31:43"
"Interval (HH:MM:SS) : 01:00:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","SpCond","","TurbSC","","TurbSC","","LDO%","","LDO","","BP","","PCYV","","IBatt","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","µS/cm","","Volts","","NTU","","Sat","","mg/l","","mmHg","","Volts","","Volts","","%Left",""

9/3/2017,13:13:01,"","10.70","","150","","-2.1959","","1.0","","101.7","","10.84","","730","","0.0162","","11.8","","94",""
9/3/2017,14:13:01,"","10.70","","150","","-2.1958","","0.8","","103.6","","11.04","","730","","0.0154","","11.8","","94",""
9/3/2017,15:13:01,"","10.77","","151","","-2.1978","","0.0","","105.2","","11.19","","730","","0.0145","","11.8","","94",""
9/3/2017,16:13:01,"","10.77","","151","","-2.1965","","0.2","","105.4","","11.21","","730","","0.0141","","11.8","","94",""
9/3/2017,17:13:01,"","10.83","","151","","-2.1973","","0.8","","105.6","","11.22","","730","","0.0125","","11.7","","94",""
9/3/2017,18:13:01,"","11.13","","150","","-2.1967","","1.0","","104.1","","10.99","","730","","0.0151","","11.7","","94",""
9/3/2017,19:13:01,"","11.16","","151","","-2.1951","","0.6","","103.6","","10.92","","730","","0.0099","","11.7","","94",""
9/3/2017,20:13:01,"","11.15","","151","","-2.1974","","0.3","","103.1","","10.87","","730","","0.0132","","11.7","","93",""
9/3/2017,21:13:01,"","11.09","","151","","-2.1971","","0.6","","103.5","","10.93","","730","","0.0118","","11.7","","93",""
9/3/2017,22:13:01,"","11.26","","152","","-2.1925","","1.5","","102.5","","10.78","","730","","0.0176","","11.7","","91",""
9/3/2017,23:13:01,"","11.13","","152","","-2.1976","","0.1","","102.4","","10.80","","730","","0.0257","","11.6","","91",""
9/4/2017,00:13:01,"","10.98","","151","","-2.1975","","0.3","","101.8","","10.78","","730","","0.0204","","11.6","","91",""
9/4/2017,01:13:01,"","10.91","","150","","-2.1970","","0.1","","102.1","","10.82","","730","","0.0059","","11.6","","91",""
9/4/2017,02:13:01,"","10.81","","150","","-2.1957","","0.5","","103.9","","11.04","","730","","0.0252","","11.5","","91",""
9/4/2017,03:13:01,"","10.86","","150","","-2.1955","","1.3","","103.9","","11.03","","730","","0.0154","","11.5","","89",""
9/4/2017,04:13:01,"","10.93","","151","","-2.1966","","0.7","","102.7","","10.89","","730","","0.0248","","11.5","","89",""
9/4/2017,05:13:01,"","10.86","","151","","-2.1964","","1.9","","103.0","","10.93","","730","","0.0157","","11.4","","87",""
9/4/2017,06:13:01,"","10.84","","151","","-2.1954","","1.6","","102.6","","10.90","","730","","0.0160","","11.4","","86",""
9/4/2017,07:13:01,"","10.85","","151","","-2.1934","","2.8","","102.7","","10.91","","730","","0.0185","","11.4","","87",""
9/4/2017,08:13:01,"","10.82","","152","","-2.1916","","2.0","","102.0","","10.84","","730","","0.0176","","11.4","","87",""
9/4/2017,09:13:01,"","10.81","","153","","-2.1927","","2.4","","101.5","","10.79","","730","","0.0163","","11.4","","86",""
9/4/2017,10:13:01,"","10.80","","152","","-2.1945","","1.8","","100.8","","10.72","","730","","0.0169","","11.3","","82",""
9/4/2017,11:13:01,"","10.84","","150","","-2.1888","","2.9","","101.4","","10.77","","730","","0.0183","","11.4","","86",""
9/4/2017,12:13:01,"","10.86","","151","","-2.1944","","1.9","","102.2","","10.85","","730","","0.0163","","11.2","","86",""
9/4/2017,13:13:01,"","10.89","","150","","-2.1943","","2.8","","102.2","","10.84","","730","","0.0153","","11.2","","82",""
9/4/2017,14:13:01,"","10.92","","150","","-2.1957","","3.0","","102.3","","10.85","","730","","0.0172","","11.2","","82",""
9/4/2017,15:13:01,"","10.98","","150","","-2.1942","","2.3","","103.0","","10.90","","730","","0.0152","","11.1","","81",""
9/4/2017,16:13:01,"","11.00","","150","","-2.1965","","1.1","","102.6","","10.86","","730","","0.0186","","11.2","","84",""
9/4/2017,17:13:01,"","11.00","","150","","-2.1877","","6.2","","102.8","","10.88","","730","","0.0170","","11.2","","81",""
9/4/2017,18:13:01,"","11.00","","151","","-2.1914","","2.4","","102.2","","10.81","","730","","0.0170","","11.3","","84",""
9/4/2017,19:13:01,"","10.98","","151","","-2.1954","","2.5","","102.2","","10.82","","730","","0.0328","","11.1","","82",""
9/4/2017,20:13:01,"","10.94","","151","","-2.1932","","1.5","","101.9","","10.80","","730","","0.0196","","11.2","","84",""
9/4/2017,21:13:01,"","10.89","","151","","-2.1949","","2.6","","101.5","","10.77","","730","","0.0259","","11.3","","84",""
9/4/2017,22:13:01,"","10.85","","151","","-2.1922","","2.8","","101.1","","10.73","","730","","0.0191","","11.1","","82",""
9/4/2017,23:13:01,"","10.81","","152","","-2.1898","","2.8","","100.6","","10.69","","730","","0.0178","","11.3","","84",""
9/5/2017,00:13:01,"","10.78","","153","","-2.1936","","2.6","","99.7","","10.60","","730","","0.0188","","11.1","","77",""
9/5/2017,01:13:01,"","10.76","","153","","-2.1887","","3.3","","99.8","","10.62","","730","","0.0199","","11.1","","79",""
9/5/2017,02:13:01,"","10.76","","152","","-2.1899","","2.4","","99.0","","10.53","","730","","0.0181","","11.0","","77",""
9/5/2017,03:13:01,"","10.75","","153","","-2.1939","","2.9","","98.6","","10.49","","730","","0.0176","","10.8","","77",""
9/5/2017,04:13:01,"","10.75","","153","","-2.1962","","0.9","","97.4","","10.37","","730","","0.0174","","11.0","","79",""
9/5/2017,05:13:01,"","10.73","","153","","-2.1953","","2.1","","97.1","","10.34","","730","","0.0189","","11.0","","79",""
9/5/2017,06:13:01,"","10.66","","153","","-2.1939","","2.8","","97.0","","10.35","","730","","0.0203","","10.8","","77",""
9/5/2017,07:13:01,"","10.63","","153","","-2.1936","","2.9","","97.1","","10.36","","730","","0.0244","","11.1","","79",""
9/5/2017,08:13:01,"","10.60","","153","","-2.1916","","3.5","","97.1","","10.38","","730","","0.0218","","11.1","","72",""
9/5/2017,09:13:01,"","10.58","","154","","-2.1804","","10.8","","97.2","","10.38","","730","","0.0281","","11.1","","74",""
9/5/2017,10:13:01,"","10.61","","154","","-2.1927","","2.9","","98.1","","10.48","","730","","0.0237","","10.9","","69",""
9/5/2017,11:13:01,"","10.62","","154","","-2.1943","","4.0","","98.9","","10.56","","730","","0.0246","","10.8","","77",""
9/5/2017,12:13:01,"","10.67","","153","","-2.1959","","1.1","","100.0","","10.66","","730","","0.0294","","10.6","","77",""
9/5/2017,13:13:01,"","10.74","","153","","-2.1919","","3.3","","100.5","","10.70","","730","","0.0252","","11.0","","77",""
9/5/2017,14:13:01,"","10.82","","153","","-2.1951","","3.9","","101.3","","10.76","","730","","0.0368","","10.7","","69",""
9/5/2017,15:13:01,"","10.87","","153","","-2.1951","","1.6","","101.8","","10.80","","730","","0.0211","","10.5","","74",""
9/5/2017,16:13:01,"","10.94","","153","","-2.1906","","2.8","","102.6","","10.87","","730","","0.0190","","10.8","","77",""
9/5/2017,17:13:01,"","10.99","","153","","-2.1929","","2.5","","103.3","","10.93","","730","","0.0203","","11.1","","79",""
9/5/2017,18:13:01,"","10.99","","154","","-2.1839","","8.6","","103.2","","10.92","","730","","0.0191","","11.0","","72",""
9/5/2017,19:13:01,"","10.96","","153","","-2.1960","","2.5","","102.6","","10.86","","730","","0.0291","","10.6","","72",""
9/5/2017,20:13:01,"","10.94","","153","","-2.1922","","3.4","","102.8","","10.89","","730","","0.0199","","10.8","","72",""
9/5/2017,21:13:01,"","10.91","","153","","-2.1891","","2.4","","101.9","","10.81","","730","","0.0183","","10.9","","76",""
9/5/2017,22:13:01,"","10.89","","153","","-2.1909","","3.5","","102.0","","10.83","","730","","0.0235","","10.9","","76",""
9/5/2017,23:13:01,"","10.86","","153","","-2.1963","","1.4","","101.6","","10.79","","730","","0.0169","","10.8","","74",""
9/6/2017,00:13:01,"","10.85","","153","","-2.1962","","2.4","","101.1","","10.74","","730","","0.0200","","10.8","","72",""
9/6/2017,01:13:01,"","10.78","","153","","-2.1958","","1.4","","101.1","","10.75","","730","","0.0185","","10.9","","76",""
9/6/2017,02:13:01,"","10.76","","153","","-2.1951","","2.1","","101.0","","10.75","","730","","0.0227","","10.8","","74",""
9/6/2017,03:13:01,"","10.71","","154","","-2.1913","","3.4","","100.7","","10.73","","730","","0.0224","","10.6","","69",""
9/6/2017,04:13:01,"","10.66","","155","","-2.1940","","2.6","","100.1","","10.68","","730","","0.0197","","10.7","","71",""
9/6/2017,05:13:01,"","10.65","","155","","-2.1872","","2.5","","99.9","","10.65","","730","","0.0212","","10.6","","69",""
9/6/2017,06:13:01,"","10.64","","154","","-2.1904","","4.5","","98.8","","10.54","","730","","0.0225","","10.8","","69",""
9/6/2017,07:13:01,"","10.66","","153","","-2.1912","","4.1","","98.5","","10.51","","730","","0.0266","","10.6","","72",""
9/6/2017,08:13:01,"","10.67","","153","","-2.1935","","2.1","","98.2","","10.47","","730","","0.0182","","10.8","","72",""
9/6/2017,09:13:01,"","10.65","","153","","-2.1951","","2.1","","97.7","","10.43","","730","","0.0260","","11.0","","77",""
9/6/2017,10:13:01,"","10.66","","153","","-2.1970","","1.7","","98.9","","10.54","","730","","0.0137","","11.0","","77",""
9/6/2017,11:13:01,"","10.70","","153","","-2.1950","","2.5","","100.0","","10.66","","730","","0.0182","","10.6","","72",""
9/6/2017,12:13:01,"","10.74","","153","","-2.1949","","2.6","","101.1","","10.77","","730","","0.0172","","10.6","","68",""
9/6/2017,13:13:01,"","10.74","","153","","-2.1915","","3.8","","101.5","","10.81","","730","","0.0359","","10.8","","72",""
9/6/2017,14:13:01,"","10.73","","153","","-2.1936","","3.1","","101.8","","10.84","","730","","0.0247","","10.5","","69",""
9/6/2017,15:13:01,"","10.74","","153","","-2.1954","","3.7","","102.9","","10.96","","730","","0.0212","","10.7","","68",""
9/6/2017,16:13:01,"","10.72","","154","","-2.1935","","3.6","","103.1","","10.98","","730","","0.0279","","10.7","","74",""
9/6/2017,17:13:01,"","10.72","","154","","-2.1922","","3.4","","103.3","","11.00","","730","","0.0313","","10.6","","71",""
9/6/2017,18:13:01,"","10.71","","154","","-2.1900","","4.4","","103.3","","11.00","","730","","0.0304","","10.8","","71",""
9/6/2017,19:13:01,"","10.70","","154","","-2.1909","","4.3","","103.1","","10.99","","730","","0.0059","","10.5","","64",""
9/6/2017,20:13:01,"","10.70","","155","","-2.1938","","4.4","","102.3","","10.90","","730","","0.0257","","10.5","","71",""
9/6/2017,21:13:01,"","10.67","","155","","-2.1945","","2.0","","101.7","","10.85","","730","","0.0490","","10.7","","69",""
9/6/2017,22:13:01,"","10.63","","156","","-2.1925","","3.8","","101.2","","10.80","","730","","0.0287","","10.4","","66",""
9/6/2017,23:13:01,"","10.60","","156","","-2.1798","","11.1","","101.2","","10.81","","730","","0.0282","","10.5","","68",""
9/7/2017,00:13:01,"","10.59","","158","","-2.1908","","4.3","","100.4","","10.73","","730","","0.0318","","10.5","","68",""
9/7/2017,01:13:01,"","10.56","","159","","-2.1788","","11.8","","99.6","","10.65","","730","","0.0356","","10.5","","68",""
9/7/2017,02:13:01,"","10.54","","159","","-2.1858","","5.6","","99.3","","10.62","","730","","0.0411","","10.7","","69",""
9/7/2017,03:13:01,"","10.53","","159","","-2.1813","","10.2","","99.0","","10.60","","730","","0.0299","","10.6","","69",""
9/7/2017,04:13:01,"","10.50","","158","","-2.1935","","2.6","","98.8","","10.58","","730","","0.0335","","10.6","","69",""
9/7/2017,05:13:01,"","10.49","","158","","-2.1951","","1.5","","98.5","","10.54","","730","","0.0287","","10.7","","69",""
9/7/2017,06:13:01,"","10.45","","158","","-2.1937","","4.3","","97.8","","10.48","","730","","0.0355","","10.1","","57",""
9/7/2017,07:13:01,"","10.43","","158","","-2.1906","","4.5","","97.9","","10.50","","730","","0.0270","","10.5","","66",""
9/7/2017,08:13:01,"","10.40","","156","","-2.1845","","8.2","","98.1","","10.52","","730","","0.0382","","10.7","","71",""
9/7/2017,09:13:01,"","10.40","","157","","-2.1914","","3.9","","98.6","","10.58","","730","","0.0302","","10.5","","68",""
9/7/2017,10:13:01,"","10.40","","155","","-2.1900","","4.8","","100.0","","10.73","","730","","0.0254","","10.7","","68",""
9/7/2017,11:13:01,"","10.44","","155","","-2.1858","","7.4","","100.9","","10.81","","730","","0.0333","","10.6","","64",""
9/7/2017,12:13:01,"","10.49","","158","","-2.1875","","4.6","","101.7","","10.89","","730","","0.0285","","10.5","","66",""
9/7/2017,13:13:01,"","10.53","","160","","-2.1941","","16.0","","102.5","","10.97","","730","","0.0390","","10.5","","66",""
9/7/2017,14:13:01,"","10.55","","161","","-2.1922","","3.9","","103.5","","11.06","","730","","0.0255","","10.5","","61",""
9/7/2017,15:13:01,"","10.56","","164","","-2.1803","","10.9","","103.5","","11.07","","730","","0.0354","","10.3","","60",""
9/7/2017,16:13:01,"","10.58","","167","","-2.1827","","5.5","","104.4","","11.15","","730","","0.0352","","10.2","","66",""
9/7/2017,17:13:01,"","10.58","","171","","-2.1854","","5.3","","105.2","","11.24","","730","","0.0394","","10.4","","66",""
9/7/2017,18:13:01,"","10.56","","174","","-2.1910","","4.2","","104.5","","11.17","","730","","0.0343","","10.4","","64",""
9/7/2017,19:13:01,"","10.52","","171","","-2.1874","","7.2","","104.5","","11.18","","730","","0.0064","","10.3","","64",""
9/7/2017,20:13:01,"","10.47","","169","","-2.1926","","3.2","","104.4","","11.18","","730","","0.0459","","10.2","","61",""
9/7/2017,21:13:01,"","10.44","","169","","-2.1762","","13.4","","103.3","","11.07","","730","","0.0324","","10.3","","66",""
9/7/2017,22:13:01,"","10.41","","167","","-2.1902","","7.6","","102.7","","11.02","","730","","0.0310","","10.3","","64",""
9/7/2017,23:13:01,"","10.38","","168","","-2.1662","","19.6","","102.2","","10.97","","730","","0.0283","","10.3","","61",""
9/8/2017,00:13:01,"","10.35","","170","","-2.1903","","4.6","","101.6","","10.91","","730","","0.0312","","10.2","","61",""
9/8/2017,01:13:01,"","10.32","","171","","-2.1783","","12.1","","100.7","","10.83","","730","","0.0335","","10.4","","63",""
9/8/2017,02:13:01,"","10.28","","172","","-2.1922","","6.3","","100.3","","10.80","","730","","0.0353","","10.2","","60",""
9/8/2017,03:13:01,"","10.26","","173","","-2.1839","","8.6","","99.4","","10.70","","730","","0.0340","","10.4","","66",""
9/8/2017,04:13:01,"","10.23","","172","","-2.1879","","3.9","","98.8","","10.64","","730","","0.0359","","10.0","","60",""
9/8/2017,05:13:01,"","10.19","","172","","-2.1928","","3.1","","98.5","","10.62","","730","","0.0325","","9.9","","58",""
9/8/2017,06:13:01,"","10.15","","170","","-2.1777","","12.4","","98.0","","10.57","","730","","0.0322","","10.1","","60",""
9/8/2017,07:13:01,"","10.13","","167","","-2.1919","","5.4","","97.1","","10.49","","730","","0.0359","","10.3","","66",""
9/8/2017,08:13:01,"","10.11","","166","","-2.1864","","9.5","","97.1","","10.49","","730","","0.0336","","10.3","","63",""
9/8/2017,09:13:01,"","10.11","","165","","-2.1922","","5.7","","97.5","","10.54","","730","","0.0358","","10.1","","60",""
9/8/2017,10:13:01,"","10.11","","164","","-2.1904","","4.6","","98.0","","10.59","","730","","0.0343","","10.1","","61",""
9/8/2017,11:13:01,"","10.14","","163","","-2.1827","","9.3","","98.4","","10.62","","730","","0.0337","","9.7","","58",""
9/8/2017,12:13:01,"","10.15","","162","","-2.1868","","6.8","","99.2","","10.70","","730","","0.0489","","10.3","","60",""
9/8/2017,13:13:01,"","10.17","","162","","-2.1841","","5.6","","100.1","","10.80","","730","","0.0313","","10.4","","66",""
9/8/2017,14:13:01,"","10.17","","161","","-2.1896","","6.5","","100.6","","10.85","","730","","0.0355","","10.4","","61",""
9/8/2017,15:13:01,"","10.17","","160","","-2.1913","","4.0","","100.6","","10.85","","730","","0.0302","","10.4","","64",""
9/8/2017,16:13:01,"","10.16","","160","","-2.1913","","5.6","","100.5","","10.84","","730","","0.0317","","10.4","","68",""
9/8/2017,17:13:01,"","10.15","","161","","-2.1764","","13.3","","101.0","","10.90","","730","","0.0319","","10.0","","61",""
9/8/2017,18:13:01,"","10.13","","161","","-2.1916","","3.8","","100.8","","10.89","","730","","0.0339","","10.1","","60",""
9/8/2017,19:13:01,"","10.11","","161","","-2.1880","","6.1","","100.2","","10.83","","730","","0.0337","","10.2","","63",""
