year,yday,hour,index,day,o2,o2_pred,alpha,beta0,rho,unique_series,unique_day,do,do_eq,par_int,temp,wspeed,sch_conv,proc_err,obs_err,gamma_1,gamma_2,k0,k1,k2,sig_obs,temp_ref,z,fix_beta0,fix_alpha,fix_rho,sim_o2,type
2012,148,1,NA,NA,NA,NA,NA,NA,120.79540946300685,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,NA,rho_fixed
2012,148,2,NA,NA,NA,NA,NA,NA,120.79540946300685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,NA,rho_fixed
2012,148,3,NA,NA,NA,NA,NA,NA,120.79540946300685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,NA,rho_fixed
2012,148,4,NA,NA,NA,NA,NA,NA,120.79540946300685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,NA,rho_fixed
2012,148,5,NA,NA,NA,NA,NA,NA,120.79540946300685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,NA,rho_fixed
2012,148,6,NA,NA,NA,NA,NA,NA,120.79540946300685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,NA,rho_fixed
2012,148,7,NA,NA,NA,NA,NA,NA,120.79540946300685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,NA,rho_fixed
2012,148,8,NA,NA,NA,NA,NA,NA,120.79540946300685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,NA,rho_fixed
2012,148,9,NA,NA,NA,NA,NA,NA,120.79540946300685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,NA,rho_fixed
2012,148,10,NA,NA,NA,NA,NA,NA,120.79540946300685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,NA,rho_fixed
2012,148,11,NA,NA,NA,NA,NA,NA,120.79540946300685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,NA,rho_fixed
2012,148,12,NA,NA,NA,NA,NA,NA,120.79540946300685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,NA,rho_fixed
2012,148,13,NA,NA,NA,NA,NA,NA,120.79540946300685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,NA,rho_fixed
2012,148,14,NA,NA,NA,NA,NA,NA,120.79540946300685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,NA,rho_fixed
2012,148,15,NA,NA,NA,NA,NA,NA,120.79540946300685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,NA,rho_fixed
2012,148,16,NA,NA,NA,NA,NA,NA,120.79540946300685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,NA,rho_fixed
2012,148,17,NA,NA,NA,NA,NA,NA,120.79540946300685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,NA,rho_fixed
2012,148,18,NA,NA,NA,NA,NA,NA,120.79540946300685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,NA,rho_fixed
